Model,Category,Battery,GVWR,Vehicle Types,Range
Volvo VNRe,Tractor,375 kWh <br> 565 kWh,Class 8,Drayage $ Eligible*;Tractor,190<br>275
Workhorse W4CC (built on GreenPower EV Star CC base vehicle),Step & Panel Van;Straight Truck,118 kWh,Class 4;Class 5,Step Van;Straight Truck,150
Workhorse W56,Step & Panel Van,210 kWh,Class 6,Step Van,120
Workhorse W750 (built on GreenPower EV Star base vehicle),Step & Panel Van,118 kWh,Class 4,Step Van,150
Xos CC,Straight Truck,150 <br> 240 kWh,Class 6;Class 7,Straight Truck,100 <br> 200
Xos CV,Straight Truck,150 <br> 240 kWh,Class 6;Class 7,Straight Truck,200 <br> 270
Xos SV,Step & Panel Van,"140 kWh <br>280 kWh",Class 6;Class 7,Step Van,100<br>200
BYD 6F Plus,Straight Truck,221 kWh,Class 6,Straight Truck,200
BYD 6R,Refuse;Straight Truck,221 kWh,Class 6,Refuse $ Eligible*;Straight Truck,100
BYD 8R,Refuse,295 kWh,Class 8,Refuse $ Eligible*,125
BYD C8MS,Heavy-Duty Bus,313 kWh,Class 8,Coach Bus,155
BYD C9M,Heavy-Duty Bus,352 kWh,Class 8,Coach Bus,186
BYD K8M,Heavy-Duty Bus,352 kWh,Class 8,Transit Bus,155
BYD K9MD,Heavy-Duty Bus,352 kWh,Class 8,Transit Bus,185
BYD Type C,School Bus,288 kWh,Class 8;Type C,Public School Bus,120
BYD Type D,School Bus,230 kWh,Class 8;Type D,Public School Bus,155
Chevrolet BrightDrop 400,2b;Step & Panel Van,104.2 kWh<br>173.3 kWh,Class 2b,Step Van,150<br>250
Freightliner Custom Chassis MT50e,Step & Panel Van;Straight Truck,220 kWh,Class 4;Class 5,Step Van;Straight Truck,150
GreenPower EV Star,Medium-Duty Bus,118 kWh,Class 4;Class 5,Shuttle Bus,150
GreenPower EV Star Cargo,Step & Panel Van,118 kWh,Class 4;Class 5,Panel Van,150
GreenPower EV Star Plus,Medium-Duty Bus,118 kWh,Class 4;Class 5,Paratransit,150
GreenPower EV250,Heavy-Duty Bus,210 kWh,Class 8,Transit Bus,150
Motiv EPIC F-53,Medium-Duty Bus,158 kWh<br>237 kWh,Class 6,Shuttle Bus,105
Navistar International MV (eMV),Straight Truck,210 kWh,Class 6;Class 7,Straight Truck,135
Oshkosh RCV,Refuse,499 kWh<br>665 kWh,Class 8,Refuse $ Eligible*,70<br>110
Rivian RCV-Delivery 500,2b,100 kWh,Class 2b,Step Van,120
Rivian RCV-Delivery 700,2b,100 kWh,Class 2b,Step Van,140
SEA-DRIVE SD120a,Straight Truck,138 kWh,Class 5,Conversion;Straight Truck,150
